Category,States/UTs/Cities,No. of Cases Reported (Incest Rape Cases),No. of Victims (Incest Rape Cases) upto 10 Years,No. of Victims (Incest Rape Cases) - 10 - 14 Years,No. of Victims (Incest Rape Cases) - 14 - 18 Years,No. of Victims (Incest Rape Cases) - 18 - 30 Years,No. of Victims (Incest Rape Cases) - 30 - 50 Years,No. of Victims (Incest Rape Cases) above 50 Years,No. of Victims (Incest Rape Cases) - Total Victims,No. of Cases Reported (Other Rape Cases),No. of Victims (Other Rape Cases) upto 10 Years,No. of Victims (Other Rape Cases) - 10 - 14 Years,No. of Victims (Other Rape Cases) - 14 - 18 Years,No. of Victims (Other Rape Cases) - 18 - 30 Years,No. of Victims (Other Rape Cases) - 30 - 50 Years,No. of Victims (Other Rape Cases) above 50 Years,No. of Victims (Other Rape Cases) - Total Victims,No. of Cases Reported (Total Rape Cases),No. of Victims (Total Rape Cases) upto 10 Years,No. of Victims (Total Rape Cases) - 10-14 Years,No. of Victims (Total Rape Cases) - 14 - 18 Years,No. of Victims (Total Rape Cases) - 18 - 30 Years,No. of Victims (Total Rape Cases) - 30 - 50 Years,No. of Victims (Total Rape Cases) above 50 Years,No. of Victims (Total Rape Cases) - Total Victims
City,Bengaluru,0,0,0,0,0,0,0,0,54,1,0,0,45,8,0,54,54,1,0,0,45,8,0,54
City,Bhopal,5,1,2,1,1,0,0,5,75,6,10,37,18,4,0,75,80,7,12,38,19,4,0,80
City,Chennai,1,1,0,0,0,0,0,1,34,3,2,17,11,1,0,34,35,4,2,17,11,1,0,35
City,Coimbatore,0,0,0,0,0,0,0,0,9,0,3,2,4,0,0,9,9,0,3,2,4,0,0,9
City,Delhi (city),33,2,12,7,8,1,3,33,363,61,76,109,97,23,1,367,396,63,88,116,105,24,4,400
City,Dhanbad,1,0,0,0,1,0,0,1,16,0,1,0,13,2,0,16,17,0,1,0,14,2,0,17
City,Faridabad,1,0,0,1,0,0,0,1,45,0,0,5,33,6,1,45,46,0,0,6,33,6,1,46
City,Hyderabad,2,2,0,0,0,0,0,2,60,0,25,10,20,5,0,60,62,2,25,10,20,5,0,62
City,Indore,0,0,0,0,0,0,0,0,71,1,1,1,54,13,1,71,71,1,1,1,54,13,1,71
City,Jabalpur,0,0,0,0,0,0,0,0,72,0,0,2,58,12,0,72,72,0,0,2,58,12,0,72
City,Jaipur,1,0,0,1,0,0,0,1,59,3,9,8,33,6,0,59,60,3,9,9,33,6,0,60
City,Jamshedpur,3,0,0,0,1,2,0,3,14,0,0,0,12,2,0,14,17,0,0,0,13,4,0,17
City,Kanpur,0,0,0,0,0,0,0,0,72,3,6,23,33,7,0,72,72,3,6,23,33,7,0,72
City,Kochi,0,0,0,0,0,0,0,0,12,1,1,7,5,0,0,14,12,1,1,7,5,0,0,14
City,Kolkata,0,0,0,0,0,0,0,0,35,2,5,8,18,2,0,35,35,2,5,8,18,2,0,35
City,Lucknow,0,0,0,0,0,0,0,0,41,1,7,16,14,3,0,41,41,1,7,16,14,3,0,41
City,Ludhiana,0,0,0,0,0,0,0,0,44,5,2,8,26,3,0,44,44,5,2,8,26,3,0,44
City,Madurai,0,0,0,0,0,0,0,0,4,0,0,1,3,0,0,4,4,0,0,1,3,0,0,4
City,Meerut,0,0,0,0,0,0,0,0,19,1,2,13,3,0,0,19,19,1,2,13,3,0,0,19
City,Mumbai,14,1,1,1,6,5,0,14,204,19,17,56,101,20,0,213,218,20,18,57,107,25,0,227
City,Nagpur,3,1,0,0,2,0,0,3,50,2,3,31,9,5,0,50,53,3,3,31,11,5,0,53
City,Nasik,1,0,0,0,0,0,1,1,13,1,0,2,10,0,0,13,14,1,0,2,10,0,1,14
City,Patna,0,0,0,0,0,0,0,0,25,0,0,2,22,1,0,25,25,0,0,2,22,1,0,25
City,Pune,2,0,1,1,0,0,0,2,90,4,11,38,28,8,1,90,92,4,12,39,28,8,1,92
City,Rajkot,0,0,0,0,0,0,0,0,12,0,1,2,9,0,0,12,12,0,1,2,9,0,0,12
City,Surat,1,0,0,1,0,0,0,1,27,4,3,4,6,10,0,27,28,4,3,5,6,10,0,28
City,Vadodara,0,0,0,0,0,0,0,0,7,3,0,0,4,0,0,7,7,3,0,0,4,0,0,7
City,Varanasi,0,0,0,0,0,0,0,0,8,0,2,4,2,0,0,8,8,0,2,4,2,0,0,8
City,Vijayawada,0,0,0,0,0,0,0,0,30,5,5,15,4,1,0,30,30,5,5,15,4,1,0,30
City,Vishakhapatnam,0,0,0,0,0,0,0,0,29,0,2,0,27,0,0,29,29,0,2,0,27,0,0,29
City,Total (Cities),68,8,16,13,19,8,4,68,1700,128,200,425,787,171,4,1715,1768,136,216,438,806,179,8,1783
