Category,States/UTs/Cities,No. of Victims (Incest Rape Cases) upto 10 Years,No. of Victims (Incest Rape Cases) <18 Years,No. of Victims (Incest Rape Cases) > 18 Years,No. of Victims (Incest Rape Cases) - Total Victims,No. of Victims (Other Rape Cases) upto 10 Years,No. of Victims (Other Rape Cases) < 18 Years,No. of Victims (Other Rape Cases) > 18 Years,No. of Victims (Other Rape Cases) - Total Victims,No. of Victims (Total Rape Cases) upto 10 Years,No. of Victims (Total Rape Cases) < 18 Years,No. of Victims (Total Rape Cases) > 18 Years,No. of Victims (Total Rape Cases) - Total Victims
Total (All-India),Total (All-India),20,150,97,267,855,6203,16945,24003,875,6353,17042,24270
City,Agra,0,0,0,0,5,27,29,61,5,27,29,61
City,Ahmedabad,0,0,0,0,0,1,59,60,0,1,59,60
City,Allahabad,0,0,0,0,2,4,4,10,2,4,4,10
City,Amritsar,0,2,0,2,1,4,13,18,1,6,13,20
City,Asansol,0,0,0,0,0,0,31,31,0,0,31,31
City,Aurangabad,0,0,0,0,0,6,10,16,0,6,10,16
City,Bengaluru,0,0,0,0,12,1,84,97,12,1,84,97
City,Bhopal,0,0,0,0,3,29,68,100,3,29,68,100
City,Chandigarh(c),0,0,0,0,5,7,9,21,5,7,9,21
City,Chennai,0,0,0,0,10,36,30,76,10,36,30,76
City,Coimbatore,0,0,0,0,1,4,4,9,1,4,4,9
City,Delhi (city),0,16,4,20,44,212,177,433,44,228,181,453
City,Dhanbad,0,0,0,0,0,0,10,10,0,0,10,10
City,Durg-bhilainagar,0,0,0,0,2,27,32,61,2,27,32,61
City,Faridabad,0,0,0,0,2,14,38,54,2,14,38,54
City,Ghaziabad,0,0,0,0,0,3,2,5,0,3,2,5
City,Gwalior,0,0,0,0,3,22,23,48,3,22,23,48
City,Hyderabad,0,0,0,0,0,10,49,59,0,10,49,59
City,Indore,0,0,0,0,0,24,67,91,0,24,67,91
City,Jabalpur,0,0,0,0,1,26,37,64,1,26,37,64
City,Jaipur,0,0,2,2,3,25,62,90,3,25,64,92
City,Jamshedpur,0,0,0,0,0,0,18,18,0,0,18,18
City,Jodhpur,0,0,0,0,1,4,28,33,1,4,28,33
City,Kannur,0,0,0,0,3,2,7,12,3,2,7,12
City,Kanpur,0,0,0,0,7,36,28,71,7,36,28,71
City,Kochi,1,0,0,1,3,13,15,31,4,13,15,32
City,Kolkata,0,0,0,0,4,14,29,47,4,14,29,47
City,Kollam,0,0,0,0,2,27,21,50,2,27,21,50
City,Kota,0,0,0,0,1,8,15,24,1,8,15,24
City,Kozhikode,0,0,1,1,0,5,8,13,0,5,9,14
City,Lucknow,0,0,0,0,3,16,19,38,3,16,19,38
City,Ludhiana,0,0,1,1,8,21,13,42,8,21,14,43
City,Madurai,0,0,0,0,0,0,7,7,0,0,7,7
City,Malappuram,0,0,0,0,0,5,11,16,0,5,11,16
City,Meerut,0,0,0,0,1,13,9,23,1,13,9,23
City,Mumbai,0,2,2,4,19,99,117,235,19,101,119,239
City,Nagpur,0,1,0,1,2,21,22,45,2,22,22,46
City,Nasik,0,2,4,6,0,6,13,19,0,8,17,25
City,Patna,0,0,0,0,0,0,27,27,0,0,27,27
City,Pune,1,0,0,1,7,28,43,78,8,28,43,79
City,Raipur,0,1,0,1,5,18,0,23,5,19,0,24
City,Rajkot,0,0,1,1,1,4,4,9,1,4,5,10
City,Ranchi,0,0,0,0,0,0,34,34,0,0,34,34
City,Srinagar,0,0,0,0,0,0,14,14,0,0,14,14
City,Surat,0,0,0,0,3,18,15,36,3,18,15,36
City,Thiruvananthapuram,0,0,0,0,4,21,16,41,4,21,16,41
City,Thrissur,0,1,0,1,0,7,20,27,0,8,20,28
City,Tiruchirapalli,0,0,0,0,1,3,2,6,1,3,2,6
City,Vadodara,0,0,0,0,0,7,2,9,0,7,2,9
City,Varanasi,0,0,0,0,0,4,1,5,0,4,1,5
City,Vasai Virar,0,3,1,4,4,6,7,17,4,9,8,21
City,Vijayawada,0,0,0,0,1,25,11,37,1,25,11,37
City,Vishakhapatnam,0,0,0,0,2,7,48,57,2,7,48,57
City,Total (Cities),2,28,16,46,176,920,1462,2558,178,948,1478,2604
