Category,States/UTs/Cities,No. of Victims (Incest Rape Cases) upto 10 Years,No. of Victims (Incest Rape Cases) <18 Years,No. of Victims (Incest Rape Cases) > 18 Years,No. of Victims (Incest Rape Cases) - Total Victims,No. of Victims (Other Rape Cases) upto 10 Years,No. of Victims (Other Rape Cases) < 18 Years,No. of Victims (Other Rape Cases) > 18 Years,No. of Victims (Other Rape Cases) - Total Victims,No. of Victims (Total Rape Cases) upto 10 Years,No. of Victims (Total Rape Cases) < 18 Years,No. of Victims (Total Rape Cases) > 18 Years,No. of Victims (Total Rape Cases) - Total Victims
State,Andhra Pradesh,0,0,0,0,99,547,796,1442,99,547,796,1442
State,Arunachal Pradesh,0,0,0,0,6,14,22,42,6,14,22,42
State,Assam,0,0,0,0,4,36,1660,1700,4,36,1660,1700
State,Bihar,2,0,0,2,21,68,843,932,23,68,843,934
State,Chhattisgarh,0,34,5,39,33,410,571,1014,33,444,576,1053
State,Goa,0,1,0,1,3,16,9,28,3,17,9,29
State,Gujarat,0,0,2,2,16,114,307,437,16,114,309,439
State,Haryana,0,2,6,8,9,55,661,725,9,57,667,733
State,Himachal Pradesh,0,5,3,8,7,60,93,160,7,65,96,168
State,Jammu & Kashmir,0,0,0,0,2,18,257,277,2,18,257,277
State,Jharkhand,0,5,3,8,0,44,732,776,0,49,735,784
State,Karnataka,1,0,0,1,20,83,532,635,21,83,532,636
State,Kerala,6,24,8,38,53,358,695,1106,59,382,703,1144
State,Madhya Pradesh,0,4,6,10,67,1191,2140,3398,67,1195,2146,3408
State,Maharashtra,6,23,14,43,130,686,886,1702,136,709,900,1745
State,Manipur,0,0,0,0,4,19,30,53,4,19,30,53
State,Meghalaya,1,5,0,6,24,40,64,128,25,45,64,134
State,Mizoram,3,0,0,3,18,28,28,74,21,28,28,77
State,Nagaland,1,6,2,9,4,4,6,14,5,10,8,23
State,Odisha,0,0,0,0,2,163,947,1112,2,163,947,1112
State,Punjab,0,2,4,6,20,145,309,474,20,147,313,480
State,Rajasthan,0,7,36,43,26,361,1370,1757,26,368,1406,1800
State,Sikkim,0,1,0,1,3,7,5,15,3,8,5,16
State,Tamil Nadu,0,1,1,2,45,226,405,676,45,227,406,678
State,Tripura,0,1,0,1,22,22,160,204,22,23,160,205
State,Uttar Pradesh,0,1,1,2,150,937,953,2040,150,938,954,2042
State,Uttarakhand,0,4,0,4,1,18,106,125,1,22,106,129
State,West Bengal,0,7,0,7,1,244,2111,2356,1,251,2111,2363
State,Total (States),20,133,91,244,790,5914,16698,23402,810,6047,16789,23646
Union Territory,A & N Islands,0,0,0,0,2,7,4,13,2,7,4,13
Union Territory,Chandigarh,0,0,0,0,6,10,11,27,6,10,11,27
Union Territory,D & N Haveli,0,0,0,0,0,1,3,4,0,1,3,4
Union Territory,Daman & Diu,0,0,0,0,0,0,1,1,0,0,1,1
Union Territory,Delhi,0,17,6,23,57,265,227,549,57,282,233,572
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Puducherry,0,0,0,0,0,6,1,7,0,6,1,7
Union Territory,Total (UTs),0,17,6,23,65,289,247,601,65,306,253,624
