state_ut,year
Uttarakhand,2007
West Bengal,2007
Total (States),2007
A & N Islands,2007
Chandigarh,2007
D & N Haveli,2007
Daman & Diu,2007
Delhi,2007
Lakshadweep,2007
Puducherry,2007
Total (UTs),2007
Total (All India),2007
Agra,2007
Ahmedabad,2007
Allahabad,2007
Amritsar,2007
Asansol,2007
Bengaluru,2007
Bhopal,2007
Chennai,2007
Coimbatore,2007
Delhi (city),2007
Dhanbad,2007
Faridabad,2007
Hyderabad,2007
Indore,2007
Jabalpur,2007
Jaipur,2007
Jamshedpur,2007
Kanpur,2007
Kochi,2007
Kolkata,2007
Lucknow,2007
Ludhiana,2007
Madurai,2007
Meerut,2007
Mumbai,2007
Nagpur,2007
Nasik,2007
Patna,2007
Pune,2007
Rajkot,2007
Surat,2007
Vadodara,2007
Varanasi,2007
Vijayawada,2007
Vishakhapatnam,2007
Total (Cities),2007
Andhra Pradesh,2008
Arunachal Pradesh,2008
Assam,2008
Bihar,2008
Chhattisgarh,2008
Goa,2008
Gujarat,2008
Haryana,2008
Himachal Pradesh,2008
Jammu & Kashmir,2008
Jharkhand,2008
Karnataka,2008
Kerala,2008
Madhya Pradesh,2008
Maharashtra,2008
Manipur,2008
Meghalaya,2008
Mizoram,2008
Nagaland,2008
Orissa,2008
Punjab,2008
Rajasthan,2008
Sikkim,2008
Tamil Nadu,2008
Tripura,2008
Uttar Pradesh,2008
Uttarakhand,2008
West Bengal,2008
Total (States),2008
A & N Islands,2008
Chandigarh,2008
D & N Haveli,2008
Daman & Diu,2008
Delhi,2008
Lakshadweep,2008
Puducherry,2008
Total (UTs),2008
Total (All-India),2008
Agra,2008
Ahmedabad,2008
Allahabad,2008
Amritsar,2008
Asansol,2008
Bengaluru,2008
Bhopal,2008
Chennai,2008
Coimbatore,2008
Delhi (city),2008
Dhanbad,2008
Faridabad,2008
Hyderabad,2008
Indore,2008
Jabalpur,2008
Jaipur,2008
Jamshedpur,2008
Kanpur,2008
Kochi,2008
Kolkata,2008
Lucknow,2008
Ludhiana,2008
Madurai,2008
Meerut,2008
Mumbai,2008
Nagpur,2008
Nasik,2008
Patna,2008
Pune,2008
Rajkot,2008
Surat,2008
Vadodara,2008
Varanasi,2008
Vijayawada,2008
Vishakhapatnam,2008
Total (Cities),2008
Andhra Pradesh,2009
Arunachal Pradesh,2009
Assam,2009
Bihar,2009
Chhattisgarh,2009
Goa,2009
Gujarat,2009
Haryana,2009
Himachal Pradesh,2009
Jammu & Kashmir,2009
Jharkhand,2009
Karnataka,2009
Kerala,2009
Madhya Pradesh,2009
Maharashtra,2009
Manipur,2009
Meghalaya,2009
Mizoram,2009
Nagaland,2009
Odisha,2009
Punjab,2009
Rajasthan,2009
Sikkim,2009
Tamil Nadu,2009
Tripura,2009
Uttar Pradesh,2009
Uttarakhand,2009
West Bengal,2009
Total (States),2009
Andaman & Nicobar Islands,2009
Chandigarh,2009
Dadra Nagar Haveli,2009
Daman & Diu,2009
Delhi,2009
Lakshadweep,2009
Pondicherry,2009
Total (UTs),2009
Total (All-India),2009
Agra,2009
Ahmedabad,2009
Allahabad,2009
Amritsar,2009
Asansol,2009
Bengaluru,2009
Bhopal,2009
Chennai,2009
Coimbatore,2009
Delhi (city),2009
Dhanbad,2009
Faridabad,2009
Hyderabad,2009
Indore,2009
Jabalpur,2009
Jaipur,2009
Jamshedpur,2009
Kanpur,2009
Kochi,2009
Kolkata,2009
Lucknow,2009
Ludhiana,2009
Madurai,2009
Meerut,2009
Mumbai,2009
Nagpur,2009
Nasik,2009
Patna,2009
Pune,2009
Rajkot,2009
Surat,2009
Vadodara,2009
Varanasi,2009
Vijayawada,2009
Vishakhapatnam,2009
Total (Cities),2009
Andhra Pradesh,2010
Arunachal Pradesh,2010
Assam,2010
Bihar,2010
Chhattisgarh,2010
Goa,2010
Gujarat,2010
Haryana,2010
Himachal Pradesh,2010
Jammu & Kashmir,2010
Jharkhand,2010
