Category,States/UTs/Cities,No. of Victims (Incest Rape Cases) upto 10 Years,No. of Victims (Incest Rape Cases) <18 Years,No. of Victims (Incest Rape Cases) > 18 Years,No. of Victims (Incest Rape Cases) - Total Victims,No. of Victims (Other Rape Cases) upto 10 Years,No. of Victims (Other Rape Cases) < 18 Years,No. of Victims (Other Rape Cases) > 18 Years,No. of Victims (Other Rape Cases) - Total Victims,No. of Victims (Total Rape Cases) upto 10 Years,No. of Victims (Total Rape Cases) < 18 Years,No. of Victims (Total Rape Cases) > 18 Years,No. of Victims (Total Rape Cases) - Total Victims
State,Andhra Pradesh,0.0,2.0,2.0,4.0,57.0,390.0,420.0,867.0,57.0,392.0,422.0,871.0
State,Arunachal Pradesh,0.0,0.0,0.0,0.0,0.0,1.0,32.0,33.0,0.0,1.0,32.0,33.0
State,Assam,0.0,8.0,0.0,8.0,8.0,310.0,491.0,809.0,8.0,318.0,491.0,817.0
State,Bihar,0.0,7.0,1.0,8.0,1.0,206.0,673.0,880.0,1.0,213.0,674.0,888.0
State,Chhattisgarh,0.0,4.0,2.0,6.0,25.0,405.0,523.0,953.0,25.0,409.0,525.0,959.0
State,Goa,0.0,0.0,0.0,0.0,3.0,8.0,1.0,12.0,3.0,8.0,1.0,12.0
State,Gujarat,0.0,2.0,0.0,2.0,15.0,108.0,161.0,284.0,15.0,110.0,161.0,286.0
State,Haryana,0.0,0.0,0.0,0.0,34.0,187.0,177.0,398.0,34.0,187.0,177.0,398.0
State,Himachal Pradesh,0.0,0.0,0.0,0.0,20.0,58.0,46.0,124.0,20.0,58.0,46.0,124.0
State,Jammu & Kashmir,0.0,1.0,1.0,2.0,0.0,64.0,103.0,167.0,0.0,65.0,104.0,169.0
State,Jharkhand,1.0,7.0,4.0,12.0,8.0,0.0,547.0,555.0,9.0,7.0,551.0,567.0
State,Karnataka,3.0,1.0,1.0,5.0,21.0,124.0,143.0,288.0,24.0,125.0,144.0,293.0
State,Kerala,1.0,1.0,2.0,4.0,18.0,171.0,369.0,558.0,19.0,172.0,371.0,562.0
State,Madhya Pradesh,10.0,105.0,186.0,301.0,76.0,756.0,1718.0,2550.0,86.0,861.0,1904.0,2851.0
State,Maharashtra,1.0,11.0,8.0,20.0,88.0,560.0,634.0,1282.0,89.0,571.0,642.0,1302.0
State,Manipur,2.0,0.0,0.0,2.0,1.0,5.0,12.0,18.0,3.0,5.0,12.0,20.0
State,Meghalaya,1.0,1.0,3.0,5.0,2.0,5.0,14.0,21.0,3.0,6.0,17.0,26.0
State,Mizoram,0.0,0.0,0.0,0.0,0.0,30.0,22.0,52.0,0.0,30.0,22.0,52.0
State,Nagaland,0.0,0.0,1.0,1.0,0.0,8.0,8.0,16.0,0.0,8.0,9.0,17.0
State,Orissa,0.0,3.0,1.0,4.0,8.0,303.0,475.0,786.0,8.0,306.0,476.0,790.0
State,Punjab,0.0,0.0,0.0,0.0,8.0,167.0,123.0,298.0,8.0,167.0,123.0,298.0
State,Rajasthan,1.0,8.0,9.0,18.0,15.0,265.0,751.0,1031.0,16.0,273.0,760.0,1049.0
State,Sikkim,1.0,0.0,0.0,1.0,0.0,4.0,3.0,7.0,1.0,4.0,3.0,8.0
State,Tamil Nadu,0.0,6.0,15.0,21.0,6.0,183.0,213.0,402.0,6.0,189.0,228.0,423.0
State,Tripura,0.0,0.0,0.0,0.0,0.0,50.0,52.0,102.0,0.0,50.0,52.0,102.0
State,Uttar Pradesh,0.0,2.0,1.0,3.0,34.0,526.0,1395.0,1955.0,34.0,528.0,1396.0,1958.0
State,Uttaranchal,0.0,0.0,0.0,0.0,6.0,23.0,45.0,74.0,6.0,23.0,45.0,74.0
State,West Bengal,0.0,0.0,0.0,0.0,4.0,8.0,697.0,709.0,4.0,8.0,697.0,709.0
State,Total (States),21.0,169.0,237.0,427.0,458.0,4925.0,9848.0,15231.0,479.0,5094.0,10085.0,15658.0
Union Territory,A & N Islands,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,3.0
Union Territory,Chandigarh,0.0,0.0,2.0,2.0,0.0,12.0,5.0,17.0,0.0,12.0,7.0,19.0
Union Territory,D & N Haveli,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,0.0,3.0,3.0,6.0
Union Territory,Daman & Diu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Union Territory,Delhi,3.0,5.0,1.0,9.0,45.0,230.0,99.0,374.0,48.0,235.0,100.0,383.0
Union Territory,Lakshadweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Union Territory,Pondicherry,0.0,0.0,0.0,0.0,3.0,4.0,2.0,9.0,3.0,4.0,2.0,9.0
Union Territory,Total (UTs),3.0,6.0,3.0,12.0,48.0,251.0,109.0,408.0,51.0,257.0,112.0,420.0
Total (All-India),Total (All-India),24.0,175.0,240.0,439.0,506.0,5176.0,9957.0,15639.0,530.0,5351.0,10197.0,16078.0
City,Agra,0.0,1.0,1.0,2.0,5.0,35.0,24.0,64.0,5.0,36.0,25.0,66.0
City,Ahmedabad,0.0,0.0,0.0,0.0,2.0,8.0,29.0,39.0,2.0,8.0,29.0,39.0
City,Allahabad,1.0,0.0,0.0,1.0,0.0,2.0,4.0,6.0,1.0,2.0,4.0,7.0
City,Amritsar,0.0,0.0,0.0,0.0,0.0,5.0,2.0,7.0,0.0,5.0,2.0,7.0
City,Asansol,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
City,Bangalore,2.0,1.0,0.0,3.0,0.0,21.0,16.0,37.0,2.0,22.0,16.0,40.0
City,Bhopal,2.0,6.0,0.0,8.0,3.0,36.0,28.0,67.0,5.0,42.0,28.0,75.0
City,Chennai,0.0,0.0,0.0,0.0,0.0,8.0,20.0,28.0,0.0,8.0,20.0,28.0
City,Coimbatore,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,2.0,2.0,4.0
City,Delhi (City),2.0,4.0,1.0,7.0,32.0,190.0,99.0,321.0,34.0,194.0,100.0,328.0
City,Dhanbad,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
City,Faridabad,0.0,0.0,0.0,0.0,0.0,7.0,4.0,11.0,0.0,7.0,4.0,11.0
City,Hyderabad,0.0,0.0,2.0,2.0,0.0,10.0,25.0,35.0,0.0,10.0,27.0,37.0
City,Indore,0.0,0.0,0.0,0.0,0.0,14.0,36.0,50.0,0.0,14.0,36.0,50.0
City,Jabalpur,0.0,0.0,0.0,0.0,2.0,28.0,34.0,64.0,2.0,28.0,34.0,64.0
City,Jaipur,0.0,0.0,0.0,0.0,1.0,8.0,19.0,28.0,1.0,8.0,19.0,28.0
City,Jamshedpur,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
City,Kanpur,0.0,0.0,0.0,0.0,2.0,9.0,36.0,47.0,2.0,9.0,36.0,47.0
City,Kochi,0.0,0.0,0.0,0.0,0.0,2.0,8.0,10.0,0.0,2.0,8.0,10.0
City,Kolkata,0.0,0.0,0.0,0.0,4.0,8.0,7.0,19.0,4.0,8.0,7.0,19.0
City,Lucknow,0.0,0.0,0.0,0.0,0.0,21.0,18.0,39.0,0.0,21.0,18.0,39.0
City,Ludhiana,0.0,0.0,0.0,0.0,3.0,20.0,11.0,34.0,3.0,20.0,11.0,34.0
City,Madurai,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0
City,Meerut,0.0,2.0,0.0,2.0,1.0,2.0,1.0,4.0,1.0,4.0,1.0,6.0
City,Mumbai,0.0,1.0,0.0,1.0,12.0,72.0,42.0,126.0,12.0,73.0,42.0,127.0
City,Nagpur,0.0,0.0,0.0,0.0,11.0,15.0,13.0,39.0,11.0,15.0,13.0,39.0
City,Nasik,0.0,0.0,0.0,0.0,0.0,5.0,4.0,9.0,0.0,5.0,4.0,9.0
City,Patna,0.0,0.0,0.0,0.0,0.0,11.0,6.0,17.0,0.0,11.0,6.0,17.0
City,Pune,0.0,1.0,2.0,3.0,3.0,33.0,17.0,53.0,3.0,34.0,19.0,56.0
City,Rajkot,0.0,1.0,0.0,1.0,1.0,2.0,1.0,4.0,1.0,3.0,1.0,5.0
City,Surat,0.0,0.0,0.0,0.0,3.0,4.0,4.0,11.0,3.0,4.0,4.0,11.0
City,Vadodara,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,2.0,1.0,3.0
City,Varanasi,0.0,0.0,0.0,0.0,2.0,7.0,8.0,17.0,2.0,7.0,8.0,17.0
City,Vijayawada,0.0,0.0,0.0,0.0,3.0,16.0,6.0,25.0,3.0,16.0,6.0,25.0
City,Vishakhapatnam,0.0,0.0,0.0,0.0,0.0,5.0,8.0,13.0,0.0,5.0,8.0,13.0
City,Total (Cities),7.0,17.0,6.0,30.0,90.0,609.0,534.0,1233.0,97.0,626.0,540.0,1263.0
