Category,States/UTs/Cities,No. of Victims (Incest Rape Cases) upto 10 Years,No. of Victims (Incest Rape Cases) <18 Years,No. of Victims (Incest Rape Cases) > 18 Years,No. of Victims (Incest Rape Cases) - Total Victims,No. of Victims (Other Rape Cases) upto 10 Years,No. of Victims (Other Rape Cases) < 18 Years,No. of Victims (Other Rape Cases) > 18 Years,No. of Victims (Other Rape Cases) - Total Victims,No. of Victims (Total Rape Cases) upto 10 Years,No. of Victims (Total Rape Cases) < 18 Years,No. of Victims (Total Rape Cases) > 18 Years,No. of Victims (Total Rape Cases) - Total Victims
State,Andhra Pradesh,2,3,8,13,47,360,837,1244,49,363,845,1257
State,Arunachal Pradesh,0,0,0,0,4,7,31,42,4,7,31,42
State,Assam,0,0,7,7,2,25,1404,1431,2,25,1411,1438
State,Bihar,0,0,3,3,0,91,1208,1299,0,91,1211,1302
State,Chhattisgarh,0,18,13,31,24,369,554,947,24,387,567,978
State,Goa,0,0,0,0,1,17,12,30,1,17,12,30
State,Gujarat,0,3,1,4,15,81,274,370,15,84,275,374
State,Haryana,0,3,5,8,10,57,556,623,10,60,561,631
State,Himachal Pradesh,0,1,0,1,8,59,89,156,8,60,89,157
State,Jammu & Kashmir,0,0,0,0,2,3,214,219,2,3,214,219
State,Jharkhand,0,0,12,12,1,7,771,779,1,7,783,791
State,Karnataka,0,0,0,0,21,76,349,446,21,76,349,446
State,Kerala,0,12,5,17,27,178,348,553,27,190,353,570
State,Madhya Pradesh,3,29,20,52,66,794,2025,2885,69,823,2045,2937
State,Maharashtra,4,13,18,35,114,563,855,1532,118,576,873,1567
State,Manipur,0,0,0,0,9,16,13,38,9,16,13,38
State,Meghalaya,1,3,1,5,5,28,50,83,6,31,51,88
State,Mizoram,0,2,1,3,9,7,58,74,9,9,59,77
State,Nagaland,0,0,1,1,0,0,18,18,0,0,19,19
State,Orissa,2,1,14,17,15,50,1031,1096,17,51,1045,1113
State,Punjab,0,0,2,2,27,81,409,517,27,81,411,519
State,Rajasthan,2,13,25,40,27,378,910,1315,29,391,935,1355
State,Sikkim,1,0,0,1,8,4,8,20,9,4,8,21
State,Tamil Nadu,1,0,0,1,26,160,386,572,27,160,386,573
State,Tripura,0,0,0,0,16,88,100,204,16,88,100,204
State,Uttar Pradesh,0,0,1,1,44,856,970,1870,44,856,971,1871
State,Uttarakhand,0,3,3,6,0,6,75,81,0,9,78,87
State,West Bengal,5,3,1,9,17,104,2133,2254,22,107,2134,2263
State,Total (States),21,107,141,269,545,4465,15688,20698,566,4572,15829,20967
Union Territory,A & N Islands,0,0,0,0,0,8,4,12,0,8,4,12
Union Territory,Chandigarh,0,2,1,3,2,8,7,17,2,10,8,20
Union Territory,D & N Haveli,0,0,0,0,0,3,3,6,0,3,3,6
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,2,20,15,37,69,210,154,433,71,230,169,470
Union Territory,Lakshadweep,0,0,0,0,0,0,2,2,0,0,2,2
Union Territory,Puducherry,0,0,0,0,0,4,4,8,0,4,4,8
Union Territory,Total (UTs),2,22,16,40,71,233,174,478,73,255,190,518
Total (All-India),Total (All-India),23,129,157,309,616,4698,15862,21176,639,4827,16019,21485
City,Agra,0,0,0,0,1,3,18,22,1,3,18,22
City,Ahmedabad,0,0,0,0,0,0,44,44,0,0,44,44
City,Allahabad,0,0,0,0,0,3,2,5,0,3,2,5
City,Amritsar,0,0,0,0,1,4,10,15,1,4,10,15
City,Asansol,0,0,0,0,0,0,20,20,0,0,20,20
City,Bengaluru,0,0,0,0,1,0,53,54,1,0,53,54
City,Bhopal,1,3,1,5,6,47,22,75,7,50,23,80
City,Chennai,1,0,0,1,3,19,12,34,4,19,12,35
City,Coimbatore,0,0,0,0,0,5,4,9,0,5,4,9
City,Delhi (city),2,19,12,33,61,185,121,367,63,204,133,400
City,Dhanbad,0,0,1,1,0,1,15,16,0,1,16,17
City,Faridabad,0,1,0,1,0,5,40,45,0,6,40,46
City,Hyderabad,2,0,0,2,0,35,25,60,2,35,25,62
City,Indore,0,0,0,0,1,2,68,71,1,2,68,71
City,Jabalpur,0,0,0,0,0,2,70,72,0,2,70,72
City,Jaipur,0,1,0,1,3,17,39,59,3,18,39,60
City,Jamshedpur,0,0,3,3,0,0,14,14,0,0,17,17
City,Kanpur,0,0,0,0,3,29,40,72,3,29,40,72
City,Kochi,0,0,0,0,1,8,5,14,1,8,5,14
City,Kolkata,0,0,0,0,2,13,20,35,2,13,20,35
City,Lucknow,0,0,0,0,1,23,17,41,1,23,17,41
City,Ludhiana,0,0,0,0,5,10,29,44,5,10,29,44
City,Madurai,0,0,0,0,0,1,3,4,0,1,3,4
City,Meerut,0,0,0,0,1,15,3,19,1,15,3,19
City,Mumbai,1,2,11,14,19,73,121,213,20,75,132,227
City,Nagpur,1,0,2,3,2,34,14,50,3,34,16,53
City,Nasik,0,0,1,1,1,2,10,13,1,2,11,14
City,Patna,0,0,0,0,0,2,23,25,0,2,23,25
City,Pune,0,2,0,2,4,49,37,90,4,51,37,92
City,Rajkot,0,0,0,0,0,3,9,12,0,3,9,12
City,Surat,0,1,0,1,4,7,16,27,4,8,16,28
City,Vadodara,0,0,0,0,3,0,4,7,3,0,4,7
City,Varanasi,0,0,0,0,0,6,2,8,0,6,2,8
City,Vijayawada,0,0,0,0,5,20,5,30,5,20,5,30
City,Vishakhapatnam,0,0,0,0,0,2,27,29,0,2,27,29
City,Total (Cities),8,29,31,68,128,625,962,1715,136,654,993,1783
